Occupational category,Occupation type,Number,Total workers with a disability,Ambulatory difficulty Percent,Hearing difficulty Percent,Cognitive difficulty Percent,Vision difficulty Percent,Independent living difficulty Percent,Self-care difficulty Percent
"Miscellaneous life, physical, and social science technicians",Detailed,"9,660","9,660",29.1,34.8,31.2,14.3,13.7,6.3
Counselors,Detailed,"53,295","53,295",36.2,25.7,30.9,21.6,14.6,8.2
Social workers,Detailed,"51,095","51,095",36.0,25.3,25.9,28.0,14.3,8.2
Probation officers and correctional treatment specialists,Detailed,-,-,-,-,-,-,-,-
Social and human service assistants,Detailed,"18,055","18,055",45.2,22.6,24.3,21.8,16.2,5.8
"Miscellaneous community and social service specialists, including health educators and community health workers",Detailed,"7,730","7,730",34.1,26.5,37.8,13.3,19.5,7.4
Clergy,Detailed,"32,335","32,335",39.4,46.6,13.2,17.6,16.6,8.3
"Directors, religious activities and education",Detailed,-,-,-,-,-,-,-,-
"Religious workers, all other",Detailed,"5,415","5,415",41.1,33.8,23.8,19.1,11.2,11.0
Lawyers,Detailed,"44,185","44,185",30.8,41.7,19.4,21.7,11.7,7.9
Judicial law clerks,Detailed,-,-,-,-,-,-,-,-
"Judges, magistrates, and other judicial workers",Detailed,-,-,-,-,-,-,-,-
Paralegals and legal assistants,Detailed,"17,950","17,950",38.2,30.1,18.8,21.9,10.4,5.7
Miscellaneous legal support workers,Detailed,"8,765","8,765",40.2,27.2,14.6,26.0,19.4,15.0
Postsecondary teachers,Detailed,"68,105","68,105",31.4,37.7,24.7,19.2,12.6,6.5
Preschool and kindergarten teachers,Detailed,"25,605","25,605",38.5,19.3,31.1,23.9,13.9,5.6
Elementary and middle school teachers,Detailed,"141,390","141,390",37.3,29.8,20.4,23.2,10.6,6.8
Secondary school teachers,Detailed,"30,365","30,365",39.5,32.3,20.7,18.0,11.0,6.9
Special education teachers,Detailed,"12,795","12,795",37.8,27.8,25.9,21.5,15.1,2.6
Other teachers and instructors,Detailed,"56,865","56,865",37.4,28.1,29.6,20.0,17.7,7.4
"Archivists, curators, and museum technicians",Detailed,-,-,-,-,-,-,-,-
Librarians,Detailed,"8,580","8,580",30.1,38.4,23.9,17.4,13.8,5.0
Library technicians,Detailed,-,-,-,-,-,-,-,-
Teacher assistants,Detailed,"65,405","65,405",40.6,25.6,30.9,21.5,17.8,10.3
"Other education, training, and library workers",Detailed,"6,170","6,170",37.7,33.5,31.1,18.3,12.9,5.0
Artists and related workers,Detailed,"14,200","14,200",36.4,23.0,30.2,17.9,33.2,13.9
Designers,Detailed,"38,850","38,850",29.7,31.1,29.6,18.7,12.8,5.6
Actors,Detailed,-,-,-,-,-,-,-,-
Producers and directors,Detailed,-,-,-,-,-,-,-,-
"Athletes, coaches, umpires, and related workers",Detailed,"10,240","10,240",19.6,33.6,33.5,17.9,5.6,9.2
Dancers and choreographers,Detailed,-,-,-,-,-,-,-,-
"Musicians, singers, and related workers",Detailed,"15,990","15,990",40.5,33.3,24.9,22.3,20.7,7.8
"Entertainers and performers, sports and related workers, all other",Detailed,-,-,-,-,-,-,-,-
Announcers,Detailed,-,-,-,-,-,-,-,-
"News analysts, reporters and correspondents",Detailed,-,-,-,-,-,-,-,-
Public relations specialists,Detailed,"6,630","6,630",25.7,31.5,29.0,21.4,14.4,6.9
Editors,Detailed,"8,085","8,085",27.7,37.1,26.9,15.2,21.6,6.4
Technical writers,Detailed,-,-,-,-,-,-,-,-
Writers and authors,Detailed,"12,465","12,465",37.1,32.1,22.3,22.0,25.6,12.2
Miscellaneous media and communication workers,Detailed,"7,680","7,680",39.5,36.9,22.5,21.4,18.6,9.3
"Miscellaneous media and communications equipment workers, including broadcast and sound engineering technicians and radio operators",Detailed,-,-,-,-,-,-,-,-
Photographers,Detailed,"8,070","8,070",26.1,35.0,34.3,14.7,18.6,6.0
"Television, video, and motion picture camera operators and editors",Detailed,-,-,-,-,-,-,-,-
Chiropractors,Detailed,-,-,-,-,-,-,-,-
Dentists,Detailed,-,-,-,-,-,-,-,-
Dietitians and nutritionists,Detailed,-,-,-,-,-,-,-,-
Optometrists,Detailed,-,-,-,-,-,-,-,-
Pharmacists,Detailed,"9,530","9,530",26.8,46.2,21.9,21.2,7.8,6.7
